% Model:              simple_interferometer_with_waveguides_for_nn.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 11 2023, 14:16
% Dimension:          1
% Nodes:              1694
% Expressions:        49
% Description:        Line graph
% Arc length (m)          (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2
0                         4391.923147163968        90467.62184140168        9303.886757179467        618.0479446409613        589.2847795466012        3535982.8676995398       217778.79191227644       2106009.431953236        753.4098035138811        15850.71925211538        1.8135153993358474E7     135902.55684469728       54985.44905456169        116408.142101872         13578.19067985711        674812.4108925565        2273032.3779115076       135952.5241394425        2733265.816231036        1002667.6490618207       2.141365951868286E7      942049.737947203         1667257.2976986088       162556.6636507778        708047.6515357961        1314.8338009551628       160160.19668869584       130970.22478475318       358926.10785931983       21427.601883400486       1825739.543646787        2221518.2347158706       13565.7386801447         385684.0002128269        3467375.055243493        1.1675032084251177E7     84.96891777371675        800154.7618688688        211604.16541463125       443046.4705520642        2864513.8486941834       17120.398833077554       76550.27655291367        653263.8263999409        6352.83894965186         4832.919151191232        276495.88434115326       252920.97382349527       2673041.102501885
1.4614186385347727E-8     4391.922716139385        90467.60595526977        9303.885050330848        618.0479068018816        589.2843910159           3535981.849978428        217778.7504705337        2106008.935490155        753.4092112420851        15850.717254008334       1.8135148923835833E7     135902.5296255777        54985.441866502006       116408.11988731842       13578.188962653328       674812.2356074194        2273032.231467514        135952.49600367152       2733265.169348647        1002667.3983071628       2.1413654051821984E7     942049.46877311          1667256.9478427416       162556.63092948438       708047.4898313688        1314.8337353059017       160160.15690388533       130970.19865525211       358926.0386017321        21427.598797740924       1825739.1603242792       2221517.729544082        13565.736847200355       385683.8945709503        3467374.3370026015       1.167502965002755E7      84.96884402251975        800154.542408519         211604.1269834448        443046.3686279083        2864513.2182797114       17120.396247727356       76550.25517897114        653263.6850692346        6352.838233369467        4832.917911800562        276495.8286517444        252920.92680916074       2673040.528072853
7.294472282335165E-5      4548.469098451874        95823.9200290391         9521.615986221132        630.5329041446092        571.3647145335791        3620881.95442899         225525.95267940266       2157383.042036321        707.3869577373014        16295.365966095475       1.8589033952964604E7     140853.1574076695        57534.82902771784        123040.99825081424       14348.770707796697       696706.8247589831        2376644.866376375        140734.6103681525        2810586.9177727005       1037649.0627294069       2.1945559991741784E7     970549.7373218214        1722453.806609531        167603.79727203771       730330.2808092175        1365.700062517786        165780.11528816316       135031.72616897          371556.6830518622        21968.23843641171        1885109.338782771        2296097.0192518216       14250.9725783592         399321.63018764          3585695.1524095484       1.2048520508008264E7     117.11975252310188       826954.7155981704        219473.3673364351        456610.8642800077        2961188.917298518        17649.424604719217       79047.53177799664        676525.5563486246        6538.110565583447        4991.686883901661        286048.1655064435        262475.61606941384       2760866.661685249
1.4587483146033184E-4     5151.197172718406        111494.37286912205       9838.419171911224        744.3744441811255        487.14874692449325       3843476.4416134837       246852.9687428368        2296365.5686836117       556.2311949406285        17463.783200075188       1.983950838725402E7      154838.63013918154       65237.04772066351        141579.2497158101        16947.97642814848        759090.269559282         2662827.564488987        154002.90010642214       3018854.2918166346       1131928.9680358304       2.339317181791866E7      1051570.3988288576       1871632.4011761697       182141.28022516737       791957.2660973498        1613.0609058541577       179928.0245136024        146009.48379789194       409915.4344341574        23125.453594707444       2048958.8395872773       2501703.5930315903       16535.88120387716        438619.4171204715        3918366.686591638        1.310391853031611E7      231.30932428736008       898247.6484474998        241596.48089670332       495327.6440638152        3227460.7068768055       19149.757201206314       85852.64720313832        740672.9537462216        7228.120677210166        5719.463853087034        313550.6047198094        290764.5271027179        3008939.807904875
1.458894456467033E-4      5151.373539331713        111498.46103763265       9838.462286594484        744.4154236683427        487.1249871519894        3843530.5964089273       246858.31140741985       2296399.9057521718       556.1913066114353        17464.069423715056       1.9839821631405886E7     154842.1990168208        65239.07500153607        141583.98187640923       16948.700653544536       759106.2110797217        2662899.431734064        154006.25616641407       3018905.7787455306       1131952.3599344362       2.3393531575102583E7     1051591.0706823983       1871669.4421283545       182145.00272140926       791972.7484720635        1613.139183605669        179931.41761727232       146012.21406230272       409925.55456080433       23125.700269502948       2048999.974348214        2501755.2487784973       16536.513607628258       438629.52017560345       3918451.077943192        1.3104186830278361E7     231.34386720053942       898265.1974797087        241602.1062010048        495337.5201118948        3227527.572037054        19150.140591836658       85854.34880334101        740689.0670533172        7228.319549606471        5719.6892487457435       313557.6528737441        290771.8921110088        3009002.845817456
1.4590405983307478E-4     5151.55040068172         111502.55196525711       9838.504472398157        744.4567991953493        487.1004744959453        3843583.697948293        246863.64285770946       2296433.871696309        556.1504378524523        17464.355045838565       1.9840129698133282E7     154845.7450683867        65241.11081998707        141588.70628947805       16949.425208675035       759122.0011085855        2662971.8677972225       154009.58465028214       3018956.7365037813       1131975.5337705296       2.3393886162417747E7     1051611.4716685542       1871706.223345121        182148.71294077515       791988.1140027492        1613.2180135850456       179934.76480279604       146014.9199648736        409935.64723546366       23125.943927956676       2049040.8591687088       2501806.5113154375       16537.146335129437       438639.53451186506       3918535.0338819437       1.3104453515478397E7     231.3784822000478        898282.539790222         241607.71269143597       495347.32157748105       3227593.9534072224       19150.522682098926       85856.0257437484         740705.0781484887        7228.518878449193        5719.913323167647        313564.6746258026        290779.24863554153       3009065.5261000674
2.188341684700515E-4      6330.631265412971        135527.50734257363       9833.713166802387        1080.3237565978077       346.44693381013565       4125885.1145995897       276509.53794903174       2481490.6515021357       327.93188049517136       18996.117183346585       2.1544726405394383E7     174921.7628769872        77323.16249141697        168559.32191313137       21523.13655577441        848929.8767487918        3068584.5806240337       172611.87241400947       3296201.6313471077       1258691.985632857        2.5335674598019306E7     1167299.3870578723       2072812.8488235944       203379.74541999082       877492.7546931886        2184.22044535643         197326.4800637168        160795.1837024948        469753.051614265         24153.825054740282       2276089.2811908415       2786694.2852760847       20498.855393588972       496101.32045924326       4391512.192751769        1.4610043620065076E7     484.6671489236718        992073.1443674662        273286.6803958465        551010.370943972         3596110.765788008        21319.672789813943       95088.76908095097        829708.2194303939        8536.17954876044         7300.232994055921        353696.04224822496       333728.44382064685       3363069.7567592673
2.9176427710702474E-4     8113.1558582258895       164570.4663992043        9256.400854719233        1746.3854066123417       225.11629616131185       4372615.890739285        307459.141919504         2659100.097651845        107.2787932472183        20473.69960242157        2.3233695404281992E7     196691.0596535751        92162.18202234736        199225.99170891137       27814.23835848444        946202.2046903799        3510759.6762873903       192102.75937583603       3562543.8911330537       1383057.7822013323       2.7211408220468648E7     1290275.5421590148       2271130.1812079432       226935.56850912518       965609.4785039282        3166.5194737110924       212124.87478048555       175277.27920873085       541844.3455227164        24377.30952495109        2509927.393188135        3080175.090974263        25860.985702655456       559696.2239249331        4897419.627247253        1.622332876486909E7      944.0889166510224        1080659.1951893761       307777.224818466         610927.0313149462        3975004.6317751827       23714.938497777675       104184.17300889568       921457.2404867156        10457.729495527305       9829.136033131697        397919.16379802546       383956.25989327254       3743030.4074671906
2.9177889129340315E-4     8113.5717832696055       164576.55185759134       9256.219399910939        1746.5581031578663       225.10174266890803       4372655.983762556        307465.0047749275        2659131.5033337804       107.24313532054741       20473.96504271946        2.3234002288756426E7     196695.2938686644        92165.30336792153        199232.2007981109        27815.642132479774       946221.0917596327        3510846.107911513        192106.46188153117       3562591.048398689        1383080.2334819536       2.721174155065921E7      1290299.0654575638       2271166.0922889975       226940.21147761968       965625.9901267681        3166.761400329627        212127.24400411916       175279.88502992154       541859.3230570321        24377.2381163166         2509971.2081643753       3080230.13666611         25862.171999982846       559708.7477468882        4897517.018560035        1.6223639503153719E7     944.2053762322732        1080674.6754572554       307783.96454763896       610938.575212146         3975075.5798107097       23715.41164114212        104185.81623497735       921474.4221301996        10458.172082142713       9829.735487627318        397927.818809207         383966.50516371056       3743103.691836957
2.9179350547978156E-4     8113.988466100094        164582.6407656881        9256.037777595571        1746.7317201644576       225.08702553518637       4372694.864902541        307470.85924375826       2659162.507800077        107.2070188011992        20474.230053596253       2.3234303238246307E7     196699.49905305155       92168.43766389453        199238.39770295695       27817.04491640445        946239.8023389223        3510933.2784778806       192110.12982677508       3562637.57636792         1383102.4121125522       2.72120688678563E7       1290322.2706145637       2271201.6706130854       226944.844654814         965642.3743168253        3167.0043581184873       212129.55994541396       175282.46154347112       541874.2725636486        24377.163252261475       2510014.716270825        3080284.7018167083       25863.358023214187       559721.1663285593        4897613.884027815        1.6223948279952426E7     944.3219539919814        1080689.9092421953       307790.6830290841        610950.0305808351        3975145.9247618043       23715.883483043654       104187.42863419425       921491.4745865925        10458.615471988147       9830.3329278359          397936.4398733174        383976.7436895297        3743176.5524181165
